Date,Buy,Sell,Hold,date2,volume,open,high,low,close,adjclose
2022-04-07,16.52012492158858,13.14553828016206,16.031344450399654,2022-04-08,7791219,128.410004,128.720001,125.010002,125.120003,124.025986
2022-04-09,12.599618309840077,13.86449229553192,16.86577386798984,2022-04-10,6707740,124.809998,125.709999,121.839996,122.059998,120.992729
2022-04-10,20.657364949178312,10.689399516638566,16.760615829716322,2022-04-12,7249927,121.75,123.599998,118.620003,120.129997,119.079613
2022-04-12,19.266921811454985,13.093469606645655,19.804550301597295,2022-04-11,1238385,120.980003,121.940002,117.57,121.419998,120.35833
2022-04-14,18.55675043384423,20.845127993162663,16.41223358297892,2022-04-15,9811563,120.93,121,116.209999,116.360001,115.342575
2022-04-16,15.49394368283713,15.559870334124772,13.876328397757053,2022-04-17,9176463,119.029999,122.059998,118.790001,121.089996,120.031212
2022-04-18,10.437689807226471,17.13462055713745,12.85600154867010,2022-04-10,5882490,121.690002,122.169998,119.449997,119.980003,118.930931
2022-04-20,12.8940547699622,12.07026099486937,12.24286975966009,2022-04-21,8253524,122.540001,123.209999,121.260002,121.959999,120.893608
2022-04-22,15.170444574223515,10.418803015476737,12.303742358468858,2022-04-23,7967089,120.400002,121.169998,119.160004,121.029999,119.971741
2022-05-01,15.390628137033787,15.156752964764593,14.873303389514867,2022-05-02,8224535,121.410004,124,120.419998,123.989998,122.905861
2022-05-03,13.828901728675724,13.171253197817746,14.139851718563984,2022-05-04,6152165,125.699997,127.220001,124.720001,125.57,124.472054
2022-05-05,10.196491623751317,16.862901892977302,14.308275263753277,2022-05-06,9288886,124.050003,125.860001,122.339996,124.760002,123.669128
2022-05-07,12.584140156760245,17.100129897127765,16.5520359447113,2022-05-08,7418213,122.879997,123.18,120.32,120.529999,119.47612
2022-05-09,14.471697853561908,16.557769430406932,14.591392362181415,2022-05-10,7230469,119.900002,121.43,119.68,119.989998,118.940834
2022-05-10,12.190226702782148,19.16613875888028,13.480116657146105,2022-05-12,7575921,120.330002,123.870003,120.260002,123.389999,122.311104
2022-05-12,14.939188409736875,18.202009046137427,16.592226102323032,2022-05-11,8516391,123.330002,124.239998,122.139999,122.540001,121.468544
2022-05-14,19.062648370331825,15.890296784995039,12.768990263203502,2022-05-15,8508362,122.82,122.900002,120.07,120.089996,119.039963
2022-05-16,19.094923512077848,20.092608799062468,12.203785584175428,2022-05-17,8137780,119.540001,121.660004,119,120.589996,119.535591
2022-05-18,16.041002068297654,16.069633682776246,15.778916538851222,2022-05-10,5609247,120.349998,121.480003,118.919998,121.209999,120.150162
2022-05-20,22.969007479454376,16.89297074132897,20.01154454071571,2022-05-21,1346166,121.650002,122.580002,120.730003,121.389999,120.32859
2022-05-22,12.398432956880361,15.204634286976349,21.311219238818897,2022-05-23,3969477,120.110001,120.400002,118.860001,119.900002,118.851631
2022-06-01,15.05187551126485,19.262161321778343,13.902800773493134,2022-06-02,4359260,121.650002,123.519997,121.150002,122.150002,121.081947
2022-06-03,16.241546573716207,15.626105990377845,18.84077300793271,2022-06-04,6110525,123.660004,124.18,122.489998,123,121.92453
2022-06-05,13.432176922934037,14.81671880203968,12.210472898335365,2022-06-06,4794578,123.870003,126.160004,123.07,125.900002,124.799164
2022-06-07,19.8379372810798,18.214059809594783,15.777007485681832,2022-06-08,4922213,126.5,127.129997,125.650002,126.209999,125.106453
2022-06-09,18.567328305295632,16.272852468954706,14.754276756011485,2022-06-10,4673691,125.830002,127.919998,125.139999,127.900002,126.781677
2022-06-10,19.934846959264668,18.097741297478397,21.054885789426258,2022-06-12,5581191,128.949997,130.389999,128.520004,130.360001,129.220169
2022-06-12,11.22160214245985,11.724454333936718,15.889634889964949,2022-06-11,5358415,129.800003,133.039993,129.470001,133,131.837097
2022-06-14,12.087955904019964,18.33714548317689,18.40979423729789,2022-06-15,5159391,132.520004,132.850006,130.630005,131.240005,130.092484
2022-06-16,18.736695776708885,18.310415139025608,18.335619086142636,2022-06-17,3409056,132.440002,134.660004,131.929993,134.429993,133.254578
2022-06-18,17.254160698456495,16.366338212179024,15.77856779850607,2022-06-10,4899496,134.940002,135,131.660004,132.029999,130.875565
2022-06-20,19.479372419103747,16.537228282773015,18.196704511413905,2022-06-21,5220476,133.820007,135,133.639999,134.5,133.323959
2022-06-22,20.926311214780377,16.843411745059363,12.314765157601336,2022-06-23,4348290,134.300003,134.669998,133.279999,134.160004,132.986954
2022-07-01,16.882132418110995,11.831963459299391,20.613847816241616,2022-07-02,2770996,133.509995,135.470001,133.339996,134.839996,133.661011
2022-07-03,17.336160744580866,13.371494488243794,18.43031701070223,2022-07-04,5946533,135.020004,135.529999,131.809998,133.110001,131.946136
2022-07-05,14.957156970315008,16.097041088769164,11.180237939660032,2022-07-06,4588468,132.360001,133.75,131.300003,133.5,132.332703
2022-07-07,11.315760899925406,12.58422456062768,11.88536305463308,2022-07-08,9587316,133.039993,134.149994,131.410004,131.940002,130.786346
